image_id,file_name,file_path,image_width_px,image_height_px,image_size_byte,origin_link,date_saved
2IlHJ96,2IlHJ96_raw.jpg,/home/pi/c_drive/test_dl/2IlHJ96/2IlHJ96_raw.jpg,2048,1536,324803,https://i.imgur.com/2IlHJ96.jpg,2021-04-11
2IlHJ96,2IlHJ96_thumbnail.jpg,/home/pi/c_drive/test_dl/2IlHJ96/2IlHJ96_thumbnail.jpg,96,72,2855,https://i.imgur.com/2IlHJ96.jpg,2021-04-11
jlkjxRV,jlkjxRV_raw.jpg,/home/pi/c_drive/test_dl/jlkjxRV/jlkjxRV_raw.jpg,2048,1366,229921,https://i.imgur.com/jlkjxRV.jpg,2021-04-11
jlkjxRV,jlkjxRV_thumbnail.jpg,/home/pi/c_drive/test_dl/jlkjxRV/jlkjxRV_thumbnail.jpg,107,72,2801,https://i.imgur.com/jlkjxRV.jpg,2021-04-11
PMhH9E4,PMhH9E4_raw.jpg,/home/pi/c_drive/test_dl/PMhH9E4/PMhH9E4_raw.jpg,5632,4224,1603312,https://i.imgur.com/PMhH9E4.jpg,2021-04-11
PMhH9E4,PMhH9E4_thumbnail.jpg,/home/pi/c_drive/test_dl/PMhH9E4/PMhH9E4_thumbnail.jpg,96,72,2694,https://i.imgur.com/PMhH9E4.jpg,2021-04-11
8zxy3Em,8zxy3Em_raw.jpg,/home/pi/c_drive/test_dl/8zxy3Em/8zxy3Em_raw.jpg,1536,2048,288776,https://i.imgur.com/8zxy3Em.jpg,2021-04-11
8zxy3Em,8zxy3Em_thumbnail.jpg,/home/pi/c_drive/test_dl/8zxy3Em/8zxy3Em_thumbnail.jpg,54,72,1787,https://i.imgur.com/8zxy3Em.jpg,2021-04-11
8kdf6Ds,8kdf6Ds_raw.jpg,/home/pi/c_drive/test_dl/8kdf6Ds/8kdf6Ds_raw.jpg,3024,4032,1341360,https://i.imgur.com/8kdf6Ds.jpg,2021-04-11
8kdf6Ds,8kdf6Ds_thumbnail.jpg,/home/pi/c_drive/test_dl/8kdf6Ds/8kdf6Ds_thumbnail.jpg,54,72,2130,https://i.imgur.com/8kdf6Ds.jpg,2021-04-11
SkxkmHS,SkxkmHS_raw.jpg,/home/pi/c_drive/test_dl/SkxkmHS/SkxkmHS_raw.jpg,6000,8000,3238088,https://i.imgur.com/SkxkmHS.jpg,2021-04-11
SkxkmHS,SkxkmHS_thumbnail.jpg,/home/pi/c_drive/test_dl/SkxkmHS/SkxkmHS_thumbnail.jpg,53,72,1974,https://i.imgur.com/SkxkmHS.jpg,2021-04-11
ojdKZxz,ojdKZxz_raw.jpg,/home/pi/c_drive/test_dl/ojdKZxz/ojdKZxz_raw.jpg,2048,1536,604264,https://i.imgur.com/ojdKZxz.jpg,2021-04-11
ojdKZxz,ojdKZxz_thumbnail.jpg,/home/pi/c_drive/test_dl/ojdKZxz/ojdKZxz_thumbnail.jpg,96,72,3162,https://i.imgur.com/ojdKZxz.jpg,2021-04-11
MxmYEV3,MxmYEV3_raw.jpg,/home/pi/c_drive/test_dl/MxmYEV3/MxmYEV3_raw.jpg,2172,2896,1586174,https://i.imgur.com/MxmYEV3.jpg,2021-04-11
MxmYEV3,MxmYEV3_thumbnail.jpg,/home/pi/c_drive/test_dl/MxmYEV3/MxmYEV3_thumbnail.jpg,54,72,2719,https://i.imgur.com/MxmYEV3.jpg,2021-04-11
KlVsbbn,KlVsbbn_raw.jpg,/home/pi/c_drive/test_dl/KlVsbbn/KlVsbbn_raw.jpg,2048,1536,282497,https://i.imgur.com/KlVsbbn.jpg,2021-04-11
KlVsbbn,KlVsbbn_thumbnail.jpg,/home/pi/c_drive/test_dl/KlVsbbn/KlVsbbn_thumbnail.jpg,96,72,2553,https://i.imgur.com/KlVsbbn.jpg,2021-04-11
75noCNi,75noCNi_raw.jpg,/home/pi/c_drive/test_dl/75noCNi/75noCNi_raw.jpg,640,480,55667,https://i.imgur.com/75noCNi.jpg,2021-04-11
75noCNi,75noCNi_thumbnail.jpg,/home/pi/c_drive/test_dl/75noCNi/75noCNi_thumbnail.jpg,96,72,2359,https://i.imgur.com/75noCNi.jpg,2021-04-11
